x y
308.954845406161 195.55836996117466
713.9821791486429 401.721294887896
819.6065494055006 783.0135975712
687.3042150470253 395.34777398687055
197.29790480470726 1484.750370556175
789.8372655713907 803.1924761261112
490.20638122824573 1000.7940488104176
683.5708831436042 404.43542978956947
493.90743307265694 987.3747668115917
296.3506250372503 224.1335434691092
196.30508815871087 1494.4058410143616
494.0055246418308 1000.2030727650575
797.8538035152501 798.8999651220056
695.7529005848999 404.21374823499133
1196.2750752959414 1217.1962419586475
293.4969669529957 216.596227296463
798.9606500444257 789.4740110742847
510.5629498734154 990.3303925993251
700.0368786478425 394.3013938795545
298.8603309360982 184.4203570010021
213.36820917825733 1509.8803132012952
319.9272207573809 191.29772884139282
302.8450556803795 206.67385850803498
1190.8577452475988 1203.2110368716603
294.9986409368176 190.1451566363463
1197.7316904286224 1195.0093971556105
810.1642985236822 795.3849525609082
820.3178421123287 791.8776807798248
201.3958161919665 1480.393840465432
299.913153599944 194.57558607086023
704.5377447129504 406.5974620737767
791.3131726984268 794.8708401833028
1188.4686620380803 1197.447543065961
808.6597971356098 783.0870560998517
687.1570425535939 381.0782180948504
1215.4546137601208 1207.3926801508449
797.3599187321976 784.7351921132777
1199.8261253796293 1186.548100252175
1184.7272028817285 1197.4260872890193
500.81755449949566 1000.813697852591
1200.0086520037667 1203.8206868811433
489.2100676529216 1005.808802793869
307.0937399202911 200.14156051103038
192.73305633783718 1507.946483593823
506.1843750051203 999.2115788577695
503.9706514382823 1008.6908378285125
310.47681447375726 199.00544273202956
189.40910860806778 1485.4729948161096
191.91792189180364 1497.0040786604231
200.66997730534754 1478.852762568088
516.3776013357615 1000.152319311209
695.2581427897206 380.47151782585695
706.5989664961392 406.5880783474709
493.461401996685 1008.4696165735867
692.7241709214604 405.73018279772276
1205.7786113422355 1213.8907433102718
210.09618061874855 1500.4844541928385
785.0499373283708 806.7131158654055
1202.8521001305085 1197.363435768689
196.15265915609544 1499.1815572723656
